FLOOD_YEAR,FLOOD_GRD,SIGUNGU,FLOOD_MONTH,DAM_RAIN,DEAD
2017,3,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,3,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,3,43111,7,188.0,0.0
2017,3,43114,7,188.0,0.0
2017,3,43114,7,188.0,0.0
2017,1,43114,7,188.0,0.0
2017,2,43114,7,188.0,0.0
2017,2,43111,6,188.0,0.0
2017,1,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,1,43111,7,188.0,0.0
2017,2,43114,7,188.0,0.0
2017,2,43114,7,188.0,0.0
2017,3,43112,7,188.0,0.0
2017,2,43114,7,188.0,0.0
2017,2,43114,7,188.0,0.0
2017,3,43112,7,188.0,0.0
2017,2,43112,7,188.0,0.0
2017,2,43112,7,188.0,0.0
2018,3,44200,8,188.0,0.0
2018,1,44200,8,188.0,0.0
2018,2,43760,8,188.0,0.0
2018,2,43760,8,188.0,0.0
2018,1,43760,8,188.0,0.0
2018,1,48170,8,203.0,0.0
2020,3,41480,8,188.0,0.0
2020,3,41480,8,188.0,0.0
2020,5,41480,8,188.0,0.0
2019,2,42230,10,188.0,0.0
2019,3,42230,10,188.0,0.0
2019,3,42230,10,188.0,0.0
2019,2,42230,10,188.0,0.0
2020,1,41150,8,188.0,0.0
2020,3,41461,7,188.0,0.0
2018,1,48170,10,203.0,0.0
2017,3,48250,10,188.0,0.0
2018,2,48170,10,203.0,0.0
2017,2,43112,7,188.0,0.0
2017,2,43112,7,188.0,0.0
2017,2,43112,7,188.0,0.0
2017,2,43112,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,2,43111,7,188.0,0.0
2017,1,43111,7,188.0,0.0
2017,3,43111,7,188.0,0.0
2017,5,43111,7,188.0,0.0
2020,1,41480,8,188.0,0.0
2020,2,41480,8,188.0,0.0
2016,2,50110,10,188.0,0.0
2016,2,50110,10,188.0,0.0
2016,1,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2020,3,41480,8,188.0,0.0
2020,2,41480,8,188.0,0.0
2016,3,50130,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2020,2,41480,8,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,3,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2020,3,43150,8,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,1,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,1,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,5,50130,10,188.0,0.0
2016,1,50130,10,188.0,0.0
2016,3,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,3,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,3,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,3,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48270,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,3,48330,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2017,1,26470,9,188.0,0.0
2017,1,26470,9,188.0,0.0
2017,1,26470,9,188.0,0.0
2017,1,26470,9,188.0,0.0
2017,2,26470,9,188.0,0.0
2017,1,26500,9,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2020,3,46150,8,188.0,0.0
2016,6,50130,10,188.0,0.0
2016,2,50130,10,188.0,0.0
2016,1,50130,10,188.0,0.0
2016,1,50130,10,188.0,0.0
2016,6,50130,10,188.0,0.0
2017,1,26470,9,188.0,0.0
2017,2,26470,9,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,1,43112,7,188.0,0.0
2016,3,48330,10,188.0,0.0
2016,3,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2020,6,46150,8,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2017,1,26500,9,188.0,0.0
2017,2,26500,9,188.0,0.0
2020,1,48170,8,318.0,0.0
2020,3,48170,8,318.0,0.0
2017,1,26500,9,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,6,31710,10,188.0,0.0
2016,5,31710,10,188.0,0.0
2016,3,43112,7,188.0,0.0
2016,2,43112,7,188.0,0.0
2016,1,43112,8,188.0,0.0
2016,2,43112,7,188.0,0.0
2016,2,43112,7,188.0,0.0
2016,1,43112,8,188.0,0.0
2016,1,43112,8,188.0,0.0
2016,1,43113,7,188.0,0.0
2016,2,43113,7,188.0,0.0
2016,1,43113,7,188.0,0.0
2016,2,43113,7,188.0,0.0
2016,2,43113,7,188.0,0.0
2020,1,48170,8,318.0,0.0
2016,2,48330,10,188.0,0.0
2016,3,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,48330,10,188.0,0.0
2016,2,50110,10,188.0,0.0
2016,2,50110,10,188.0,0.0
2016,2,50110,10,188.0,0.0
2016,3,50110,10,188.0,0.0
2016,2,50110,10,188.0,0.0
2020,6,48170,8,318.0,0.0
2017,1,26500,9,188.0,0.0
2017,1,36110,7,188.0,0.0
2017,1,36110,7,188.0,0.0
2017,2,36110,7,188.0,0.0
2017,1,36110,7,188.0,0.0
2017,2,36110,7,188.0,0.0
2017,2,41220,7,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
2016,3,31710,10,188.0,0.0
2016,2,31710,10,188.0,0.0
