SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,FLOOD_AREA
43111,2017,7,8420.86
43111,2017,7,3860.054
43111,2017,7,1686.663
43111,2017,7,15485.922
43111,2017,7,15076.976
43111,2017,7,27622.781
43111,2017,7,16538.115
43114,2017,7,4276.074
43114,2017,7,17593.281
43114,2017,7,2173.062
43114,2017,7,7768.196
43111,2017,6,6709.522
43111,2017,7,4884.362
43111,2017,7,879.56
43114,2017,7,17580.316
43114,2017,7,2659.866
43112,2017,7,16047.415
43114,2017,7,6882.505
43114,2017,7,5641.678
43112,2017,7,3356.243
43112,2017,7,8563.563
43112,2017,7,2327.24
44200,2018,8,174.198
44200,2018,8,1602.379
43760,2018,8,5426.666
43760,2018,8,202.868
43760,2018,8,821.651
48170,2018,8,12218.564
41480,2020,8,1.3908344e+06
42230,2019,10,4809.4
42230,2019,10,18288.9
42230,2019,10,3183.3
42230,2019,10,94390.1
41150,2020,8,65.6
41461,2020,7,88573.6
48170,2018,10,20217.115
48250,2017,10,18998.006
48170,2018,10,13630.838
43112,2017,7,4491.282
43112,2017,7,10115.939
43112,2017,7,1436.165
43112,2017,7,10752.607
43111,2017,7,2053.165
43111,2017,7,410.613
43111,2017,7,24723.81
43111,2017,7,4577.475
43111,2017,7,15288.299
43111,2017,7,49137.516
41480,2020,8,4727.3
41480,2020,8,4014.8
50110,2016,10,1459.042
50110,2016,10,4081.043
31710,2016,10,102753.88
31710,2016,10,102422.44
31710,2016,10,216113.06
31710,2016,10,152358.12
31710,2016,10,57896.617
41480,2020,8,14115.1
41480,2020,8,8078.7
50130,2016,10,6373.254
31710,2016,10,41719.855
31710,2016,10,122723.91
31710,2016,10,45629.984
31710,2016,10,186902.8
31710,2016,10,116859.51
41480,2020,8,152795.7
31710,2016,10,106659.22
31710,2016,10,112899.625
48270,2016,10,387675.84
48270,2016,10,25742.896
48270,2016,10,19901.111
43150,2020,8,6424.6
50130,2016,10,1681.303
50130,2016,10,13188.571
50130,2016,10,4817.615
50130,2016,10,28306.287
50130,2016,10,2138.081
50130,2016,10,4028.443
50130,2016,10,3327.969
50130,2016,10,4189.768
50130,2016,10,2667.64
50130,2016,10,26717.457
50130,2016,10,16345.218
50130,2016,10,5256.282
50130,2016,10,7474.207
50130,2016,10,18978.092
31710,2016,10,6306.266
31710,2016,10,71027.586
31710,2016,10,51439.758
31710,2016,10,56088.617
31710,2016,10,107322.195
48270,2016,10,44338.867
48270,2016,10,70621.125
48270,2016,10,83431.05
48270,2016,10,123003.18
50130,2016,10,9941.214
50130,2016,10,5148.85
31710,2016,10,219719.27
31710,2016,10,219468.86
31710,2016,10,144646.98
48270,2016,10,62733.52
48330,2016,10,4933.98
48330,2016,10,49047.184
48330,2016,10,26900.271
48330,2016,10,9222.174
26470,2017,9,42087.28
26470,2017,9,65819.586
26470,2017,9,3531.279
26470,2017,9,8463.114
26500,2017,9,3247.861
31710,2016,10,52318.355
31710,2016,10,93896.28
46150,2020,8,6864.8
50130,2016,10,4323.873
50130,2016,10,3118.074
26470,2017,9,3452.055
43112,2016,7,25658.168
48330,2016,10,8122.8926
48330,2016,10,6459.5273
48330,2016,10,10385.314
48330,2016,10,14002.112
48330,2016,10,11602.414
46150,2020,8,18143.9
48330,2016,10,12637.632
48330,2016,10,37320.88
26500,2017,9,12592.737
48170,2020,8,6827.369
48170,2020,8,2110.5686
31710,2016,10,69949.16
43112,2016,8,14718.079
43113,2016,7,7150.0
43113,2016,7,5216.0
43113,2016,7,3937.0
43113,2016,7,4000.0
43113,2016,7,6979.0
48170,2020,8,2560.8423
48330,2016,10,31783.082
48330,2016,10,7672.1567
48330,2016,10,160010.83
48330,2016,10,30593.268
48330,2016,10,6786.701
48330,2016,10,6290.5054
50110,2016,10,1541.995
50110,2016,10,1090.688
50110,2016,10,2997.448
50110,2016,10,2623.635
50110,2016,10,1148.38
48170,2020,8,18766.547
26500,2017,9,14541.759
36110,2017,7,723.901
36110,2017,7,900.354
36110,2017,7,5178.69
36110,2017,7,392.768
36110,2017,7,2956.617
41220,2017,7,75543.8
43114,2016,7,5285.0
48121,2016,10,488336.38
50110,2016,10,3668.076
50110,2016,10,4786.755
50110,2016,10,3750.52
50110,2016,10,3934.277
50110,2016,10,1181.859
50110,2016,10,2132.115
50110,2016,10,3992.552
50110,2016,10,2979.912
50110,2016,10,1147.674
50110,2016,10,3596.086
50110,2016,10,3180.476
50110,2016,10,1967.297
50110,2016,10,2457.137
50110,2016,10,1378.509
50110,2016,10,3109.828
50110,2016,10,2222.958
31110,2016,10,1997.495
31110,2016,10,7358.325
31110,2016,10,134366.11
31200,2016,10,215100.61
31200,2016,10,123773.12
31200,2016,10,372498.44
31200,2016,10,590826.06
31200,2016,10,224931.06
31200,2016,10,35898.062
31200,2016,10,663886.3
31200,2016,10,23816.271
31200,2016,10,31167.504
31710,2016,10,76576.695
31710,2016,10,31556.938
31710,2016,10,119436.58
31710,2016,10,45579.117
31710,2016,10,71534.95
41390,2017,7,4076.0
41390,2017,7,34928.0
50110,2016,10,4197.276
50110,2016,10,1523.522
50110,2016,10,400.259
50110,2016,10,1275.221
50110,2016,10,1602.521
43111,2017,7,21412.79
43111,2017,7,1050.812
