SIGUNGU,DRAINAGE_GRD,PUMP_CNT
51150,1,2
51170,1,1
41820,1,2
41281,2,5
41287,4,3
41610,1,15
41310,2,6
41250,1,14
41194,2,1
41196,2,4
41113,3,4
41117,2,2
41390,2,4
41550,1,7
41173,1,1
41171,1,5
41800,1,9
41150,1,7
41500,1,7
41480,2,36
41450,1,2
48310,1,5
48250,1,50
48720,1,16
48170,1,10
48220,1,4
48850,1,8
48890,1,19
47290,1,3
47170,1,6
47210,1,2
47230,1,1
47900,1,5
47820,2,1
29200,1,10
27230,1,3
27290,2,1
27710,1,5
27140,1,6
27230,1,17
27170,2,3
27260,1,3
30110,1,16
30200,1,1
26440,3,22
26410,1,1
26710,1,6
26290,2,11
26170,1,2
26230,2,2
26320,1,5
26530,5,9
26380,2,4
26500,2,1
26470,2,5
26200,2,1
26350,1,11
11620,1,3
11350,1,2
11440,2,10
11290,1,2
11560,2,8
28710,1,1
28140,6,1
28177,6,3
28260,6,7
46730,1,8
46150,1,4
46870,1,28
46860,1,6
46820,2,9
46790,1,5
52130,2,8
52190,1,2
52140,4,9
52180,1,2
44710,2,1
44230,4,7
44200,2,5
44800,2,3
43800,1,1
43130,1,8
