SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,RAIN_TOTAL
51820,2016,1,6.6
51780,2016,1,0.9
41250,2016,1,1.3
41480,2016,1,1.0
51760,2016,1,2.6
51760,2016,1,2.6
51110,2016,1,0.4
28720,2016,1,5.7
28720,2016,1,5.7
51150,2016,1,24.7
51150,2016,1,27.4
51170,2016,1,12.4
11110,2016,1,1.0
11110,2016,1,1.0
28110,2016,1,2.8
28110,2016,1,2.8
51130,2016,1,1.6
47940,2016,1,164.2
41113,2016,1,4.6
41113,2016,1,4.6
51750,2016,1,3.4
43130,2016,1,1.8
44210,2016,1,21.9
47930,2016,1,12.8
47930,2016,1,12.8
43113,2016,1,5.7
30200,2016,1,11.6
43740,2016,1,18.9
47170,2016,1,6.8
47170,2016,1,6.8
47250,2016,1,11.7
47111,2016,1,47.2
52130,2016,1,42.4
52130,2016,1,42.4
27140,2016,1,23.8
27140,2016,1,23.8
52113,2016,1,25.2
52111,2016,1,25.2
31110,2016,1,50.6
31110,2016,1,50.6
31110,2016,1,50.6
48120,2016,1,40.5
29170,2016,1,49.7
26110,2016,1,59.5
48220,2016,1,70.7
46110,2016,1,79.2
46110,2016,1,79.2
46130,2016,1,51.2
46910,2016,1,21.1
46890,2016,1,65.0
52790,2016,1,53.6
52790,2016,1,53.6
52790,2016,1,53.6
46150,2016,1,30.0
46150,2016,1,30.0
46900,2016,1,18.6
44800,2016,1,10.7
50110,2016,1,125.6
50110,2016,1,70.1
50130,2016,1,167.8
50130,2016,1,167.8
50130,2016,1,167.8
50130,2016,1,74.9
50130,2016,1,74.9
48170,2016,1,35.4
48170,2016,1,35.4
28710,2016,1,0.2
41830,2016,1,0.4
41500,2016,1,3.6
51810,2016,1,0.3
51810,2016,1,0.3
51720,2016,1,0.1
51190,2016,1,8.9
51770,2016,1,1.0
51770,2016,1,1.0
51770,2016,1,1.0
43150,2016,1,4.5
43720,2016,1,9.7
44131,2016,1,8.0
44131,2016,1,8.0
44180,2016,1,7.8
44760,2016,1,6.6
44710,2016,1,11.1
52800,2016,1,51.1
52750,2016,1,36.1
52180,2016,1,60.2
52180,2016,1,60.2
52190,2016,1,30.0
52190,2016,1,30.0
52190,2016,1,30.0
52740,2016,1,24.9
52790,2016,1,54.0
46870,2016,1,45.2
48250,2016,1,44.0
52770,2016,1,34.4
48123,2016,1,39.5
48330,2016,1,55.6
46780,2016,1,23.3
46780,2016,1,23.3
46810,2016,1,59.6
46810,2016,1,59.6
46800,2016,1,54.0
46820,2016,1,56.3
46770,2016,1,57.5
46770,2016,1,57.5
48720,2016,1,32.2
48870,2016,1,25.1
46230,2016,1,38.5
46230,2016,1,38.5
46900,2016,1,58.6
47920,2016,1,3.5
47920,2016,1,3.5
47210,2016,1,4.0
47280,2016,1,7.4
47280,2016,1,7.4
47750,2016,1,8.6
47750,2016,1,8.6
47770,2016,1,12.5
47730,2016,1,5.3
47190,2016,1,16.6
47230,2016,1,22.5
47130,2016,1,38.1
48880,2016,1,20.7
48880,2016,1,20.7
48890,2016,1,27.7
48270,2016,1,33.5
48860,2016,1,31.0
48310,2016,1,81.5
48840,2016,1,62.7
51820,2016,2,38.3
51780,2016,2,54.1
41250,2016,2,47.8
41480,2016,2,65.9
51760,2016,2,39.0
51760,2016,2,39.0
51110,2016,2,54.8
28720,2016,2,66.5
28720,2016,2,66.5
51150,2016,2,45.7
51150,2016,2,48.5
51170,2016,2,55.0
11110,2016,2,47.6
11110,2016,2,47.6
28110,2016,2,43.1
28110,2016,2,43.1
51130,2016,2,45.8
47940,2016,2,134.8
41113,2016,2,52.6
41113,2016,2,52.6
51750,2016,2,54.5
43130,2016,2,50.1
44210,2016,2,61.7
47930,2016,2,40.6
47930,2016,2,40.6
43113,2016,2,45.5
30200,2016,2,45.8
43740,2016,2,34.2
47170,2016,2,32.8
47170,2016,2,32.8
47250,2016,2,36.6
47111,2016,2,14.4
52130,2016,2,46.1
52130,2016,2,46.1
27140,2016,2,15.5
27140,2016,2,15.5
52113,2016,2,31.6
52111,2016,2,31.6
31110,2016,2,32.4
31110,2016,2,32.4
31110,2016,2,32.4
48120,2016,2,73.2
29170,2016,2,45.2
26110,2016,2,63.7
48220,2016,2,93.2
46110,2016,2,40.5
46110,2016,2,40.5
46130,2016,2,65.5
46910,2016,2,28.1
46890,2016,2,71.6
52790,2016,2,30.0
52790,2016,2,30.0
52790,2016,2,30.0
46150,2016,2,71.9
46150,2016,2,71.9
46900,2016,2,56.0
44800,2016,2,49.5
50110,2016,2,40.0
50110,2016,2,76.7
50130,2016,2,103.1
50130,2016,2,103.1
50130,2016,2,103.1
50130,2016,2,143.4
50130,2016,2,143.4
48170,2016,2,76.4
48170,2016,2,76.4
28710,2016,2,39.1
41830,2016,2,25.0
41500,2016,2,52.2
51810,2016,2,41.3
51810,2016,2,41.3
51720,2016,2,35.4
51190,2016,2,28.9
51770,2016,2,66.0
51770,2016,2,66.0
51770,2016,2,66.0
43150,2016,2,68.7
43720,2016,2,39.8
44131,2016,2,43.6
44131,2016,2,43.6
44180,2016,2,54.2
44760,2016,2,59.6
44710,2016,2,46.0
52800,2016,2,40.6
52750,2016,2,42.4
52180,2016,2,33.0
52180,2016,2,33.0
52190,2016,2,48.5
52190,2016,2,48.5
52190,2016,2,48.5
52740,2016,2,67.2
52790,2016,2,28.7
46870,2016,2,40.5
48250,2016,2,67.0
52770,2016,2,50.6
48123,2016,2,56.1
48330,2016,2,76.0
46780,2016,2,108.6
46780,2016,2,108.6
46810,2016,2,46.0
46810,2016,2,46.0
46800,2016,2,50.5
46820,2016,2,24.1
46770,2016,2,56.2
46770,2016,2,56.2
48720,2016,2,44.2
48870,2016,2,34.4
46230,2016,2,73.0
46230,2016,2,73.0
46900,2016,2,56.9
47920,2016,2,48.8
47920,2016,2,48.8
47210,2016,2,49.9
47280,2016,2,42.6
47280,2016,2,42.6
