지점,시작일,종료일,지점명,지점주소,관리관서
90,1968-01-01,,속초,강원특별자치도 고성군 토성면 봉포리,속초기상대(90)
93,2016-10-01,,북춘천,강원특별자치도 춘천시 신북읍 산천리,춘천기상대(101)
95,1988-01-01,,철원,강원특별자치도 철원군 갈말읍 군탄리,춘천기상대(101)
98,1998-02-01,,동두천,경기도 동두천시 생연동,수도권기상청(119)
99,2013-10-22,,파주,경기도 파주시 문산읍 운천리,수도권기상청(119)
99,2001-12-07,2013-10-22,문산,경기도 파주시 문산읍 운천리,파주기상대(99)
100,2006-11-07,,대관령,강원특별자치도 평창군 대관령면 횡계리,대관령기상대(100)
100,1971-07-15,2006-11-07,대관령,강원특별자치도 평창군 대관령면 횡계리,
101,1966-01-01,,춘천,강원특별자치도 춘천시 우두동,춘천기상대(101)
102,2018-05-01,,백령도,인천광역시 옹진군 백령면 진촌리,백령도기상대(102)
102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군 백령면 연화리,백령도기상대(102)
104,2008-07-28,,북강릉,강원특별자치도 강릉시 사천면 방동리,강릉(구 105)
105,1911-10-03,,강릉,강원특별자치도 강릉시 용강동,강릉(구 105)
106,1992-05-01,,동해,강원특별자치도 동해시 용정동,동해기상대(106)
108,2010-08-16,,서울,서울특별시 종로구 송월동,서울기상관측소(108)
108,1907-10-01,2010-08-16,서울,서울특별시 종로구 송월동,서울기상관측소(108)
112,2013-10-22,,인천,인천광역시 중구 전동,인천기상대(112)
112,1904-08-29,2013-10-22,인천,인천광역시 중구 전동,인천기상대(112)
114,1971-09-06,,원주,강원특별자치도 원주시 명륜동,원주기상대(114)
115,1938-08-10,,울릉도,경상북도 울릉군 울릉읍 도동리,울릉도기상대(115)
116,1984-01-01,1990-12-31,관악산,서울특별시,
119,2019-07-24,,수원,경기도 수원시권선구 고색동,
119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 서둔동,수도권기상청(119)
121,1994-12-01,,영월,강원특별자치도 영월군 영월읍 하송리,영월기상대(121)
127,1972-01-01,,충주,충청북도 충주시 안림동,청주기상대(131)
129,1968-01-01,,서산,충청남도 서산시 수석동,홍성기상대(서산 129)
130,2020-12-04,,울진,경상북도 울진군 울진읍 연지리,안동기상대(136)
130,1971-01-12,2020-12-04,울진,경상북도 울진군 울진읍 연지리,대구(구 143)
