year,month,stn_id,stn_ko,rn_day,rn,max_rn_day,tm_rn_day,rn_day_cnt1,rn_day_cnt2,rn_day_cnt3,rn_day_cnt4,ev_s,ws,ws_max,wd_max,tm_max,cnt1,cnt2,cnt3,cnt4,cnt5,cnt6,cnt7,cnt8,cnt9
2016,1,90.0,속초,6.6,-37.7,3.7,30,2,2,0,0,,2.4,8.7,WNW,23,0,0,4,0,0,0,3,0,28
2016,1,95.0,철원,0.9,-19.7,0.9,18,1,0,0,0,,1.3,6.4,W,23,0,0,1,2,0,0,5,10,31
2016,1,98.0,동두천,1.3,-19.5,0.7,18,3,0,0,0,,1.6,9.7,WNW,18,0,0,3,0,0,0,4,0,0
2016,1,99.0,파주,1.0,,0.4,18,3,0,0,0,,1.5,8.4,WNW,19,0,0,3,0,0,0,3,0,0
2016,1,100.0,대관령,2.6,-60.0,2.6,29,1,1,0,0,,4.9,16.6,W,19,0,0,2,0,4,0,9,0,31
2016,1,101.0,춘천,0.4,-19.9,0.3,16,2,0,0,0,,1.2,8.0,WSW,18,13,3,1,4,0,0,5,21,31
2016,1,102.0,백령도,5.7,-5.9,3.1,14,4,2,0,0,,4.2,16.0,WNW,23,2,7,2,1,1,0,14,0,28
2016,1,104.0,북강릉,24.7,,13.2,29,2,2,2,0,,2.1,10.9,WSW,18,18,3,2,0,0,0,2,3,28
2016,1,105.0,강릉,27.4,-27.7,16.5,29,3,2,2,0,,3.4,9.6,WNW,1,0,0,1,,0,,,,
2016,1,106.0,동해,12.4,-38.6,6.6,30,3,3,0,0,,2.4,10.4,WSW,18,0,0,3,0,0,0,3,0,26
2016,1,108.0,서울,1.0,-19.8,0.4,13,4,0,0,0,,2.5,9.0,NNW,19,9,3,1,0,0,0,6,8,28
2016,1,112.0,인천,2.8,-17.8,1.6,13,4,1,0,0,,3.5,13.0,NNW,18,7,1,2,2,0,0,8,9,29
2016,1,114.0,원주,1.6,-20.4,1.3,18,3,1,0,0,,1.0,6.5,WSW,19,0,0,2,1,0,0,10,0,26
2016,1,115.0,울릉도,164.2,48.0,31.0,23,18,17,6,1,,3.8,13.0,W,29,2,15,6,0,0,0,22,1,25
2016,1,119.0,수원,4.6,-17.8,2.7,13,5,1,0,0,,1.7,7.5,NW,23,7,1,2,1,0,0,10,11,29
2016,1,121.0,영월,3.4,-17.9,1.2,15,6,1,0,0,,1.2,6.7,W,23,0,0,2,1,0,0,10,0,24
2016,1,127.0,충주,1.8,-19.4,0.6,18,6,0,0,0,,1.5,7.9,W,18,0,0,2,2,0,0,6,0,27
2016,1,129.0,서산,21.9,-6.3,5.8,18,10,4,0,0,,2.0,9.4,WNW,19,3,6,2,2,0,0,14,12,29
2016,1,130.0,울진,12.8,-33.9,6.9,29,5,4,0,0,,3.0,8.6,WNW,18,0,0,3,0,0,0,1,0,23
2016,1,131.0,청주,5.7,-19.8,2.0,18,7,2,0,0,,1.3,5.3,WNW,19,3,5,2,0,0,0,9,1,27
2016,1,133.0,대전,11.6,-18.0,3.8,17,10,4,0,0,,1.3,6.9,NW,19,3,5,2,1,0,0,13,8,29
2016,1,135.0,추풍령,18.9,-5.6,8.6,29,7,4,0,0,,3.5,14.3,W,19,0,0,3,0,1,0,7,0,27
2016,1,136.0,안동,6.8,-13.3,3.8,29,3,3,0,0,,2.0,9.4,WNW,19,12,4,1,5,0,0,6,21,31
2016,1,137.0,상주,11.7,,7.1,29,6,3,0,0,,2.4,9.2,W,19,0,0,2,1,0,0,6,0,26
2016,1,138.0,포항,47.2,10.7,27.0,29,5,4,1,0,,2.9,9.2,W,19,14,4,4,0,0,0,0,0,22
2016,1,140.0,군산,42.4,9.9,12.0,19,12,7,2,0,,1.8,11.8,WNW,18,0,0,5,1,0,0,11,0,0
2016,1,143.0,대구,23.8,3.2,15.2,29,3,3,1,0,,2.1,10.8,W,19,12,4,3,2,0,0,4,8,26
2016,1,146.0,전주,25.2,-7.5,8.3,17,8,7,0,0,,1.7,7.6,WNW,18,1,6,3,2,0,0,14,13,25
2016,1,152.0,울산,50.6,16.3,23.2,29,5,3,2,0,,2.3,9.9,WNW,24,15,3,4,0,0,0,0,4,24
2016,1,155.0,창원,40.5,3.6,23.6,28,5,3,2,0,,1.9,8.3,NNE,22,13,3,3,0,0,0,2,3,20
2016,1,156.0,광주,49.7,12.6,11.5,28,11,8,1,0,,1.5,6.7,W,13,0,8,4,0,0,0,11,6,23
2016,1,159.0,부산,59.5,25.1,24.3,28,4,3,3,0,,3.5,12.5,WNW,18,15,3,4,0,0,1,2,1,20
2016,1,162.0,통영,70.7,40.9,37.2,28,4,4,2,1,,2.7,10.5,NNW,23,0,0,2,0,0,0,2,0,0
2016,1,165.0,목포,79.2,46.0,14.3,28,11,8,5,0,,3.7,12.5,NNW,18,1,12,4,3,0,0,12,1,17
2016,1,168.0,여수,51.2,26.1,28.9,28,8,4,2,0,,4.9,13.6,NNW,19,5,4,4,0,0,0,7,0,19
2016,1,169.0,흑산도,21.1,-1.0,7.0,29,9,7,0,0,,6.0,14.7,NNW,19,1,15,7,1,4,0,11,0,11
2016,1,170.0,완도,65.0,30.8,24.1,28,9,7,3,0,,2.8,11.4,SW,19,0,0,4,0,0,0,8,0,0
2016,1,172.0,고창,53.6,,11.9,24,12,10,2,0,,2.8,12.5,NW,19,0,0,4,1,0,0,12,0,0
2016,1,174.0,순천,30.0,,13.1,29,8,5,2,0,,2.4,7.3,NW,19,0,0,3,2,0,0,7,3,26
2016,1,175.0,진도(첨찰산),18.6,,5.1,19,6,5,0,0,,5.0,13.3,NW,18,0,0,3,0,0,0,6,0,0
2016,1,177.0,홍성(예),10.7,,4.6,23,10,3,0,0,,1.5,7.0,W,18,0,0,1,0,0,0,0,0,0
2016,1,184.0,제주,125.6,60.4,33.5,17,13,9,4,2,,4.3,14.3,NW,24,0,22,10,0,1,0,9,0,7
2016,1,185.0,고산,70.1,26.2,29.1,28,9,6,2,0,,9.3,26.9,NW,24,0,0,5,0,14,0,10,0,0
2016,1,188.0,성산,167.8,84.6,66.7,28,14,9,4,2,,3.1,9.7,WNW,31,0,0,6,0,0,0,8,0,0
2016,1,189.0,서귀포,74.9,13.9,26.5,28,10,7,3,0,,1.6,5.7,NNE,29,0,0,6,0,0,0,7,0,0
2016,1,192.0,진주,35.4,2.5,19.4,28,4,3,2,0,,1.1,7.4,NNW,19,0,0,3,3,0,0,1,0,6
2016,1,201.0,강화,0.2,-17.5,0.2,26,1,0,0,0,,1.8,7.8,SW,19,0,0,1,0,0,0,1,0,0
2016,1,202.0,양평,0.4,-17.8,0.4,13,1,0,0,0,,1.5,8.4,WNW,18,0,0,1,0,0,0,1,0,0
2016,1,203.0,이천,3.6,-18.9,1.2,13,5,2,0,0,,1.3,7.5,WNW,18,0,0,1,0,0,0,5,0,0
2016,1,211.0,인제,0.3,-17.2,0.3,18,1,0,0,0,,1.9,5.8,S,19,0,0,1,,0,,,,
2016,1,212.0,홍천,0.1,-20.3,0.1,18,1,0,0,0,,1.0,6.6,W,18,0,0,1,,0,,,,
2016,1,216.0,태백,8.9,-23.7,6.1,29,3,2,0,0,,1.6,6.4,NNW,26,0,0,3,,0,,,,
2016,1,217.0,정선군,1.0,,0.5,15,2,0,0,0,,2.0,11.8,N,19,0,0,3,,0,,,,
2016,1,221.0,제천,4.5,-20.2,1.5,15,6,2,0,0,,1.6,7.8,WSW,18,0,0,2,2,0,0,7,0,27
2016,1,226.0,보은,9.7,-17.6,4.5,17,5,3,0,0,,1.5,7.2,NW,18,0,0,3,3,0,0,10,0,27
2016,1,232.0,천안,8.0,-15.4,2.5,23,5,4,0,0,,1.8,9.0,W,19,0,0,2,3,0,0,6,0,0
2016,1,235.0,보령,7.8,-20.3,2.9,23,5,4,0,0,,1.5,5.7,N,23,0,0,3,1,0,0,12,0,0
2016,1,236.0,부여,6.6,-22.2,2.0,18,7,3,0,0,,1.2,7.2,NW,18,0,0,2,,0,,,,
2016,1,238.0,금산,11.1,-18.3,5.0,17,7,3,0,0,,1.2,6.3,W,19,0,0,3,,0,,,,
2016,1,243.0,부안,51.1,16.8,16.0,24,14,8,1,0,,1.3,7.2,WNW,18,0,0,5,,0,,,,
2016,1,244.0,임실,36.1,-1.2,10.0,24,9,8,1,0,,1.1,5.9,NW,18,0,0,3,,0,,,,
2016,1,245.0,정읍,60.2,20.0,12.0,24,13,8,1,0,,1.1,5.7,WNW,18,0,0,4,2,0,0,13,0,0
