fid,BASE_DATE,SIGUNGU_CD,SIGUNGU_NM
1,"20240630","11060",동대문구
2,"20240630","11070",중랑구
3,"20240630","11080",성북구
4,"20240630","11090",강북구
5,"20240630","11100",도봉구
6,"20240630","11110",노원구
7,"20240630","11120",은평구
8,"20240630","11130",서대문구
9,"20240630","11140",마포구
10,"20240630","11150",양천구
11,"20240630","11160",강서구
12,"20240630","11170",구로구
13,"20240630","11180",금천구
14,"20240630","11190",영등포구
15,"20240630","11200",동작구
16,"20240630","11210",관악구
17,"20240630","11220",서초구
18,"20240630","11230",강남구
19,"20240630","11240",송파구
20,"20240630","11250",강동구
21,"20240630","21010",중구
22,"20240630","21020",서구
23,"20240630","21030",동구
24,"20240630","21040",영도구
25,"20240630","21050",부산진구
26,"20240630","21060",동래구
27,"20240630","21070",남구
28,"20240630","21080",북구
29,"20240630","21090",해운대구
30,"20240630","21100",사하구
31,"20240630","21110",금정구
32,"20240630","21120",강서구
33,"20240630","21130",연제구
34,"20240630","21140",수영구
35,"20240630","21150",사상구
36,"20240630","21510",기장군
37,"20240630","22010",중구
38,"20240630","22020",동구
39,"20240630","22030",서구
40,"20240630","22040",남구
41,"20240630","22050",북구
42,"20240630","22060",수성구
43,"20240630","22070",달서구
44,"20240630","22510",달성군
45,"20240630","22520",군위군
46,"20240630","23010",중구
47,"20240630","23020",동구
48,"20240630","23040",연수구
49,"20240630","23050",남동구
50,"20240630","23060",부평구
51,"20240630","23070",계양구
52,"20240630","23080",서구
53,"20240630","23090",미추홀구
54,"20240630","23510",강화군
55,"20240630","23520",옹진군
56,"20240630","24010",동구
57,"20240630","24020",서구
58,"20240630","24030",남구
59,"20240630","24040",북구
60,"20240630","24050",광산구
61,"20240630","25010",동구
62,"20240630","25020",중구
63,"20240630","25030",서구
64,"20240630","25040",유성구
65,"20240630","25050",대덕구
66,"20240630","26010",중구
67,"20240630","26020",남구
68,"20240630","26030",동구
69,"20240630","26040",북구
70,"20240630","26510",울주군
71,"20240630","29010",세종시
72,"20240630","31011",수원시 장안구
73,"20240630","31012",수원시 권선구
74,"20240630","31013",수원시 팔달구
75,"20240630","31014",수원시 영통구
76,"20240630","31021",성남시 수정구
77,"20240630","31022",성남시 중원구
78,"20240630","31023",성남시 분당구
79,"20240630","31030",의정부시
80,"20240630","31041",안양시 만안구
81,"20240630","31042",안양시 동안구
82,"20240630","31051",부천시 원미구
83,"20240630","31052",부천시 소사구
84,"20240630","31053",부천시 오정구
85,"20240630","31060",광명시
86,"20240630","31070",평택시
87,"20240630","31080",동두천시
88,"20240630","31091",안산시 상록구
89,"20240630","31092",안산시 단원구
90,"20240630","31101",고양시 덕양구
91,"20240630","31103",고양시 일산동구
92,"20240630","31104",고양시 일산서구
93,"20240630","31110",과천시
94,"20240630","31120",구리시
95,"20240630","31130",남양주시
96,"20240630","31140",오산시
97,"20240630","31150",시흥시
98,"20240630","31160",군포시
99,"20240630","31170",의왕시
100,"20240630","31180",하남시
101,"20240630","31191",용인시 처인구
102,"20240630","31192",용인시 기흥구
103,"20240630","31193",용인시 수지구
104,"20240630","31200",파주시
105,"20240630","31210",이천시
106,"20240630","31220",안성시
107,"20240630","31230",김포시
108,"20240630","31240",화성시
109,"20240630","31250",광주시
110,"20240630","31260",양주시
111,"20240630","31270",포천시
112,"20240630","31280",여주시
113,"20240630","31550",연천군
114,"20240630","31570",가평군
115,"20240630","31580",양평군
116,"20240630","32010",춘천시
117,"20240630","32020",원주시
118,"20240630","32030",강릉시
119,"20240630","32040",동해시
120,"20240630","32050",태백시
121,"20240630","32060",속초시
122,"20240630","32070",삼척시
123,"20240630","32510",홍천군
124,"20240630","32520",횡성군
125,"20240630","32530",영월군
126,"20240630","32540",평창군
127,"20240630","32550",정선군
128,"20240630","32560",철원군
129,"20240630","32570",화천군
130,"20240630","32580",양구군
131,"20240630","32590",인제군
132,"20240630","32600",고성군
133,"20240630","32610",양양군
134,"20240630","33020",충주시
135,"20240630","11010",종로구
136,"20240630","11020",중구
137,"20240630","11030",용산구
138,"20240630","11040",성동구
139,"20240630","11050",광진구
140,"20240630","33030",제천시
141,"20240630","33041",청주시 상당구
142,"20240630","33042",청주시 서원구
143,"20240630","33043",청주시 흥덕구
144,"20240630","33044",청주시 청원구
145,"20240630","33520",보은군
146,"20240630","33530",옥천군
147,"20240630","33540",영동군
148,"20240630","33550",진천군
149,"20240630","33560",괴산군
150,"20240630","33570",음성군
151,"20240630","33580",단양군
152,"20240630","33590",증평군
153,"20240630","34011",천안시 동남구
154,"20240630","34012",천안시 서북구
155,"20240630","34020",공주시
156,"20240630","34030",보령시
157,"20240630","34040",아산시
158,"20240630","34050",서산시
159,"20240630","34060",논산시
160,"20240630","34070",계룡시
161,"20240630","34080",당진시
162,"20240630","34510",금산군
163,"20240630","34530",부여군
164,"20240630","34540",서천군
165,"20240630","34550",청양군
166,"20240630","34560",홍성군
167,"20240630","34570",예산군
168,"20240630","34580",태안군
169,"20240630","35011",전주시 완산구
170,"20240630","35012",전주시 덕진구
171,"20240630","35020",군산시
172,"20240630","35030",익산시
173,"20240630","35040",정읍시
174,"20240630","35050",남원시
175,"20240630","35060",김제시
176,"20240630","35510",완주군
177,"20240630","35520",진안군
178,"20240630","35530",무주군
179,"20240630","35540",장수군
180,"20240630","35550",임실군
181,"20240630","35560",순창군
182,"20240630","35570",고창군
183,"20240630","35580",부안군
184,"20240630","36010",목포시
185,"20240630","36020",여수시
186,"20240630","36030",순천시
187,"20240630","36040",나주시
188,"20240630","36060",광양시
189,"20240630","36510",담양군
190,"20240630","36520",곡성군
191,"20240630","36530",구례군
192,"20240630","36550",고흥군
193,"20240630","36560",보성군
194,"20240630","36570",화순군
195,"20240630","36580",장흥군
196,"20240630","36590",강진군
197,"20240630","36600",해남군
198,"20240630","36610",영암군
199,"20240630","36620",무안군
200,"20240630","36630",함평군
201,"20240630","36640",영광군
202,"20240630","36650",장성군
203,"20240630","36660",완도군
204,"20240630","36670",진도군
205,"20240630","36680",신안군
206,"20240630","37011",포항시 남구
207,"20240630","37012",포항시 북구
208,"20240630","37020",경주시
209,"20240630","37030",김천시
