RIVER_SE,RIV_GRD,SIGUNGU_CD,SIGUNGU_NM,RIV_DIS_MIN,RIV_DIS_GRD
RVC002,2,32610,양양군,478.260257869589,3
RVC002,2,32610,양양군,472.676208282641,3
RVC002,2,32610,양양군,464.70973837187,3
RVC002,2,32610,양양군,468.304506619908,3
RVC002,2,32610,양양군,297.178958807951,4
RVC002,2,32610,양양군,302.873386830257,3
RVC002,2,32610,양양군,304.788663392845,3
RVC002,2,32610,양양군,326.807142178329,3
RVC002,2,32610,양양군,323.670775581966,3
RVC002,2,32610,양양군,299.912956110781,4
RVC002,2,32610,양양군,186.619688194541,4
RVC002,2,32610,양양군,194.368821461406,4
RVC002,2,32610,양양군,223.415645875299,4
RVC003,3,32060,속초시,1631.09932136141,1
RVC003,3,32060,속초시,1581.71515722867,1
RVC002,2,32600,고성군,477.029153029658,3
RVC002,2,32600,고성군,463.717888339042,3
RVC002,2,32600,고성군,382.18652618367,3
RVC002,2,32600,고성군,393.260639182595,3
RVC002,2,32600,고성군,383.792197026763,3
RVC002,2,32600,고성군,377.91977322055,3
RVC002,2,32600,고성군,367.149170768626,3
RVC002,2,32600,고성군,400.343650771169,3
RVC002,2,32600,고성군,361.456167815012,3
RVC002,2,32600,고성군,377.040961293955,3
RVC002,2,32600,고성군,227.731055555071,4
RVC002,2,32600,고성군,225.321842866668,4
RVC002,2,32600,고성군,377.770267300447,3
RVC002,2,32600,고성군,277.990958234693,4
RVC002,2,32600,고성군,266.353463012849,4
RVC002,2,32600,고성군,288.065502444886,4
RVC002,2,32600,고성군,359.40003078873,3
RVC002,2,32600,고성군,324.075431513848,3
RVC002,2,32600,고성군,332.83326022522,3
RVC002,2,32600,고성군,321.726278675437,3
RVC002,2,32600,고성군,374.356786289709,3
RVC002,2,32600,고성군,334.618568016623,3
RVC002,2,32600,고성군,365.697996699351,3
RVC002,2,32600,고성군,381.43828970532,3
RVC002,2,32600,고성군,351.076341311304,3
RVC002,2,32600,고성군,323.262351428533,3
RVC002,2,32600,고성군,336.580011259405,3
RVC002,2,32600,고성군,329.59829203715,3
RVC002,2,32600,고성군,318.828436418684,3
RVC002,2,32600,고성군,325.925213498398,3
RVC002,2,32600,고성군,380.315694546054,3
RVC002,2,32600,고성군,303.324967378673,3
RVC003,3,32600,고성군,141.622629100142,4
RVC003,3,32600,고성군,656.145335835874,3
RVC003,3,32600,고성군,707.338940468334,2
RVC003,3,32600,고성군,341.975599393012,3
RVC003,3,32600,고성군,212.948211392026,4
RVC003,3,32600,고성군,180.569170932579,4
RVC003,3,32600,고성군,210.118534261866,4
RVC003,3,32600,고성군,184.998275142099,4
RVC003,3,32600,고성군,231.956772756854,4
RVC003,3,32600,고성군,125.97217457524,4
RVC003,3,32600,고성군,196.605881314514,4
RVC003,3,32600,고성군,400.772982851068,3
RVC003,3,32600,고성군,797.290824775506,2
RVC003,3,32600,고성군,801.335685190651,2
RVC003,3,32600,고성군,788.419388068536,2
RVC003,3,32600,고성군,788.130695476606,2
RVC003,3,32600,고성군,795.994176689829,2
RVC003,3,32600,고성군,802.735030811884,2
RVC003,3,32600,고성군,841.722630446664,2
RVC003,3,32600,고성군,827.031277956653,2
RVC003,3,32600,고성군,433.8873055547,3
RVC003,3,32600,고성군,773.872823620515,2
RVC003,3,32600,고성군,464.309573558022,3
RVC003,3,32600,고성군,801.855519785271,2
RVC003,3,32600,고성군,491.383606746339,3
RVC003,3,32600,고성군,855.910358025524,2
RVC003,3,32600,고성군,862.969827433299,2
RVC003,3,32600,고성군,865.136091305452,2
RVC003,3,32600,고성군,539.499585133935,3
RVC003,3,32600,고성군,548.277869366102,3
RVC003,3,32600,고성군,551.821279205875,3
RVC002,2,32600,고성군,840.836846690703,2
RVC003,3,32600,고성군,414.836226945087,3
RVC003,3,32600,고성군,427.557123732532,3
RVC003,3,32600,고성군,345.635371873767,3
RVC003,3,32600,고성군,334.734297852426,3
RVC003,3,32600,고성군,384.263146874676,3
RVC003,3,32600,고성군,410.606710515762,3
RVC003,3,32600,고성군,349.104340252347,3
RVC003,3,32600,고성군,229.390197377166,4
RVC003,3,32600,고성군,223.514201553586,4
RVC002,2,32600,고성군,292.395346001576,4
RVC002,2,32600,고성군,295.38605881063,4
RVC002,2,32600,고성군,302.273965740654,3
RVC002,2,32600,고성군,257.677468570731,4
RVC002,2,32600,고성군,254.136110427147,4
RVC002,2,32600,고성군,257.933020012422,4
RVC002,2,32600,고성군,267.624763002833,4
RVC003,3,32600,고성군,251.165733521833,4
RVC003,3,32600,고성군,249.657664014374,4
RVC003,3,32600,고성군,242.686399399472,4
RVC003,3,32600,고성군,240.354597761697,4
RVC003,3,32600,고성군,598.154565814843,3
RVC003,3,32600,고성군,633.781422185781,3
RVC003,3,32600,고성군,539.893728462559,3
RVC003,3,32600,고성군,545.100576911427,3
RVC003,3,32600,고성군,495.76068915432,3
RVC003,3,32600,고성군,535.411848380692,3
RVC003,3,32600,고성군,490.104238487441,3
RVC003,3,32600,고성군,425.944460106901,3
RVC003,3,32600,고성군,420.71545208805,3
RVC003,3,32600,고성군,395.569231894462,3
RVC003,3,32600,고성군,377.86996027032,3
RVC003,3,32600,고성군,356.573839050736,3
RVC003,3,32600,고성군,317.856252812466,3
RVC003,3,32600,고성군,297.96891895008,4
RVC003,3,32600,고성군,304.282244094691,3
RVC003,3,32600,고성군,298.316987742862,4
RVC003,3,32600,고성군,307.985487871417,3
RVC003,3,32600,고성군,385.638734875906,3
RVC003,3,32600,고성군,262.759656283856,4
RVC003,3,32600,고성군,291.500590438323,4
RVC003,3,32600,고성군,257.535240831536,4
RVC003,3,32600,고성군,278.228371124882,4
RVC003,3,32600,고성군,400.063510669574,3
RVC003,3,32600,고성군,433.75949691149,3
RVC003,3,32600,고성군,439.300510812144,3
RVC003,3,32600,고성군,444.480471958343,3
RVC003,3,32600,고성군,447.007312117391,3
RVC003,3,32600,고성군,8387.62841169273,1
RVC002,2,32560,철원군,7257.95472492637,1
RVC003,3,37620,울진군,319.918878269098,3
RVC003,3,37620,울진군,304.242402249541,3
RVC003,3,37620,울진군,214.000510887322,4
RVC003,3,37620,울진군,251.633430327616,4
RVC003,3,37620,울진군,184.467469510701,4
RVC003,3,37620,울진군,817.650164955265,2
RVC003,3,37620,울진군,827.565117154991,2
RVC003,3,37620,울진군,846.919355275056,2
RVC003,3,37620,울진군,710.271290565013,2
