fid,BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,지역코드
1,20240630,11060,동대문구,11230
2,20240630,11070,중랑구,11260
3,20240630,11080,성북구,11290
4,20240630,11090,강북구,11305
5,20240630,11100,도봉구,11320
6,20240630,11110,노원구,11350
7,20240630,11120,은평구,11380
8,20240630,11130,서대문구,11410
9,20240630,11140,마포구,11440
10,20240630,11150,양천구,11470
11,20240630,11160,강서구,11500
12,20240630,11170,구로구,11530
13,20240630,11180,금천구,11545
14,20240630,11190,영등포구,11560
15,20240630,11200,동작구,11590
16,20240630,11210,관악구,11620
17,20240630,11220,서초구,11650
18,20240630,11230,강남구,11680
19,20240630,11240,송파구,11710
20,20240630,11250,강동구,11740
136,20240630,11020,중구,11140
22,20240630,21020,서구,26140
23,20240630,21030,동구,26170
24,20240630,21040,영도구,26200
25,20240630,21050,부산진구,26230
26,20240630,21060,동래구,26260
27,20240630,21070,남구,26290
28,20240630,21080,북구,26320
29,20240630,21090,해운대구,26350
30,20240630,21100,사하구,26380
31,20240630,21110,금정구,26410
32,20240630,21120,강서구,26440
33,20240630,21130,연제구,26470
34,20240630,21140,수영구,26500
35,20240630,21150,사상구,26530
36,20240630,21510,기장군,26710
21,20240630,21010,중구,26110
38,20240630,22020,동구,27140
39,20240630,22030,서구,27170
40,20240630,22040,남구,27200
41,20240630,22050,북구,27230
42,20240630,22060,수성구,27260
43,20240630,22070,달서구,27290
44,20240630,22510,달성군,27710
45,20240630,22520,군위군,27720
37,20240630,22010,중구,27110
47,20240630,23020,동구,28140
48,20240630,23040,연수구,28185
49,20240630,23050,남동구,28200
50,20240630,23060,부평구,28237
51,20240630,23070,계양구,28245
52,20240630,23080,서구,28260
53,20240630,23090,미추홀구,28177
54,20240630,23510,강화군,28710
55,20240630,23520,옹진군,28720
56,20240630,24010,동구,29110
57,20240630,24020,서구,29140
58,20240630,24030,남구,29155
59,20240630,24040,북구,29170
60,20240630,24050,광산구,29200
61,20240630,25010,동구,30110
46,20240630,23010,중구,28110
63,20240630,25030,서구,30170
64,20240630,25040,유성구,30200
65,20240630,25050,대덕구,30230
62,20240630,25020,중구,30140
67,20240630,26020,남구,31140
68,20240630,26030,동구,31170
69,20240630,26040,북구,31200
70,20240630,26510,울주군,31710
71,20240630,29010,세종시,36000
72,20240630,31011,수원시 장안구,41111
73,20240630,31012,수원시 권선구,41113
74,20240630,31013,수원시 팔달구,41115
75,20240630,31014,수원시 영통구,41117
76,20240630,31021,성남시 수정구,41131
77,20240630,31022,성남시 중원구,41133
78,20240630,31023,성남시 분당구,41135
79,20240630,31030,의정부시,41150
80,20240630,31041,안양시 만안구,41171
81,20240630,31042,안양시 동안구,41173
82,20240630,31051,부천시 원미구,41192
83,20240630,31052,부천시 소사구,41194
84,20240630,31053,부천시 오정구,41196
85,20240630,31060,광명시,41210
86,20240630,31070,평택시,41220
87,20240630,31080,동두천시,41250
88,20240630,31091,안산시 상록구,41271
89,20240630,31092,안산시 단원구,41273
90,20240630,31101,고양시 덕양구,41281
91,20240630,31103,고양시 일산동구,41285
92,20240630,31104,고양시 일산서구,41287
93,20240630,31110,과천시,41290
94,20240630,31120,구리시,41310
95,20240630,31130,남양주시,41360
96,20240630,31140,오산시,41370
97,20240630,31150,시흥시,41390
98,20240630,31160,군포시,41410
99,20240630,31170,의왕시,41430
100,20240630,31180,하남시,41450
101,20240630,31191,용인시 처인구,41461
102,20240630,31192,용인시 기흥구,41463
103,20240630,31193,용인시 수지구,41465
104,20240630,31200,파주시,41480
105,20240630,31210,이천시,41500
106,20240630,31220,안성시,41550
107,20240630,31230,김포시,41570
108,20240630,31240,화성시,41590
109,20240630,31250,광주시,41610
110,20240630,31260,양주시,41630
111,20240630,31270,포천시,41650
112,20240630,31280,여주시,41670
113,20240630,31550,연천군,41800
114,20240630,31570,가평군,41820
115,20240630,31580,양평군,41830
116,20240630,32010,춘천시,51110
117,20240630,32020,원주시,51130
118,20240630,32030,강릉시,51150
119,20240630,32040,동해시,51170
120,20240630,32050,태백시,51190
121,20240630,32060,속초시,51210
122,20240630,32070,삼척시,51230
123,20240630,32510,홍천군,51720
124,20240630,32520,횡성군,51730
125,20240630,32530,영월군,51750
126,20240630,32540,평창군,51760
127,20240630,32550,정선군,51770
128,20240630,32560,철원군,51780
129,20240630,32570,화천군,51790
130,20240630,32580,양구군,51800
131,20240630,32590,인제군,51810
132,20240630,32600,고성군,51820
133,20240630,32610,양양군,51830
134,20240630,33020,충주시,43130
135,20240630,11010,종로구,11110
66,20240630,26010,중구,31110
137,20240630,11030,용산구,11170
138,20240630,11040,성동구,11200
139,20240630,11050,광진구,11215
140,20240630,33030,제천시,43150
141,20240630,33041,청주시 상당구,43111
142,20240630,33042,청주시 서원구,43112
143,20240630,33043,청주시 흥덕구,43113
144,20240630,33044,청주시 청원구,43114
145,20240630,33520,보은군,43720
146,20240630,33530,옥천군,43730
147,20240630,33540,영동군,43740
148,20240630,33550,진천군,43750
149,20240630,33560,괴산군,43760
150,20240630,33570,음성군,43770
151,20240630,33580,단양군,43800
152,20240630,33590,증평군,43745
153,20240630,34011,천안시 동남구,44131
154,20240630,34012,천안시 서북구,44133
155,20240630,34020,공주시,44150
156,20240630,34030,보령시,44180
157,20240630,34040,아산시,44200
158,20240630,34050,서산시,44210
159,20240630,34060,논산시,44230
160,20240630,34070,계룡시,44250
161,20240630,34080,당진시,44270
162,20240630,34510,금산군,44710
163,20240630,34530,부여군,44760
164,20240630,34540,서천군,44770
165,20240630,34550,청양군,44790
166,20240630,34560,홍성군,44800
167,20240630,34570,예산군,44810
168,20240630,34580,태안군,44825
169,20240630,35011,전주시 완산구,52111
170,20240630,35012,전주시 덕진구,52113
171,20240630,35020,군산시,52130
172,20240630,35030,익산시,52140
173,20240630,35040,정읍시,52180
174,20240630,35050,남원시,52190
175,20240630,35060,김제시,52210
176,20240630,35510,완주군,52710
177,20240630,35520,진안군,52720
178,20240630,35530,무주군,52730
179,20240630,35540,장수군,52740
180,20240630,35550,임실군,52750
181,20240630,35560,순창군,52770
182,20240630,35570,고창군,52790
183,20240630,35580,부안군,52800
184,20240630,36010,목포시,46110
185,20240630,36020,여수시,46130
186,20240630,36030,순천시,46150
187,20240630,36040,나주시,46170
188,20240630,36060,광양시,46230
189,20240630,36510,담양군,46710
190,20240630,36520,곡성군,46720
191,20240630,36530,구례군,46730
192,20240630,36550,고흥군,46770
193,20240630,36560,보성군,46780
194,20240630,36570,화순군,46790
195,20240630,36580,장흥군,46800
196,20240630,36590,강진군,46810
197,20240630,36600,해남군,46820
198,20240630,36610,영암군,46830
199,20240630,36620,무안군,46840
200,20240630,36630,함평군,46860
201,20240630,36640,영광군,46870
202,20240630,36650,장성군,46880
203,20240630,36660,완도군,46890
204,20240630,36670,진도군,46900
205,20240630,36680,신안군,46910
206,20240630,37011,포항시 남구,47111
207,20240630,37012,포항시 북구,47113
208,20240630,37020,경주시,47130
209,20240630,37030,김천시,47150
210,20240630,37040,안동시,47170
211,20240630,37050,구미시,47190
212,20240630,37060,영주시,47210
213,20240630,37070,영천시,47230
214,20240630,37080,상주시,47250
215,20240630,37090,문경시,47280
216,20240630,37100,경산시,47290
217,20240630,37520,의성군,47730
218,20240630,37530,청송군,47750
219,20240630,37540,영양군,47760
220,20240630,37550,영덕군,47770
221,20240630,37560,청도군,47820
222,20240630,37570,고령군,47830
223,20240630,37580,성주군,47840
224,20240630,37590,칠곡군,47850
225,20240630,37600,예천군,47900
226,20240630,37610,봉화군,47920
227,20240630,37620,울진군,47930
228,20240630,37630,울릉군,47940
229,20240630,38030,진주시,48170
230,20240630,38050,통영시,48220
231,20240630,38060,사천시,48240
232,20240630,38070,김해시,48250
233,20240630,38080,밀양시,48270
234,20240630,38090,거제시,48310
235,20240630,38100,양산시,48330
236,20240630,38111,창원시 의창구,48121
237,20240630,38112,창원시 성산구,48123
238,20240630,38113,창원시 마산합포구,48125
239,20240630,38114,창원시 마산회원구,48127
240,20240630,38115,창원시 진해구,48129
241,20240630,38510,의령군,48720
242,20240630,38520,함안군,48730
243,20240630,38530,창녕군,48740
244,20240630,38540,고성군,48820
245,20240630,38550,남해군,48840
246,20240630,38560,하동군,48850
247,20240630,38570,산청군,48860
248,20240630,38580,함양군,48870
249,20240630,38590,거창군,48880
250,20240630,38600,합천군,48890
251,20240630,39010,제주시,50110
252,20240630,39020,서귀포시,50130
